"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"PROJ","Deltek, Inc.","11.94","819931740","n/a","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/proj",
"DNDN","Dendreon Corporation","6.77","1042539380","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dndn",
"DENN","Denny&#39;s Corporation","4.51","433650030","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/denn",
"XRAY","DENTSPLY International Inc.","36.7","5202188300","n/a","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"DEPO","Depomed, Inc.","5.64","314305920","n/a","1995","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/depo",
"DSCI","Derma Sciences, Inc.","9.55","122211350","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dsci",
"DEST","Destination Maternity Corporation","21.82","291667940","n/a","1985","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/dest",
"DSWL","Deswell Industries, Inc.","2.65","42922050","n/a","1995","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/dswl",
"DXCM","DexCom, Inc.","12.89","883609500","n/a","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxcm",
"DLLR","DFC Global Corp","18.68","821303560","n/a","2005","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dllr",
"DIAL","Dial Global, Inc.","3.46","78763440","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/dial",
"DLGC","Dialogic, Inc.","0.6501","20480100.3","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/dlgc",
"DMND","Diamond Foods, Inc.","18.85","416867750","n/a","2005","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/dmnd",
"DHFT","Diamond Hill Financial Trends Fund, Inc.","10.2","40473600","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dhft",
"DHIL","Diamond Hill Investment Group, Inc.","75.54","234325080","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"DCIX","Diana Containerships Inc.","7.55","174223800","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DGII","Digi International Inc.","9.65","248545400","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","26.73","189595890","n/a","1999","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DRAD","Digirad Corporation","2.1","41088600","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"DGLY","Digital Ally, Inc.","0.4","6461600","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
